name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,5.686821705426357e+43,,,ENM_0000068_SECTION,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,71.37984496124031,,4.146424399677514,ENM_0000068_SECTION,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,,,,nanoreg_mined,,2527.1317829457366,,,IMPEDANCE ADHERENT CELLS,
NM-100 TiO2 50-150 nm,Titanium Dioxide,150.0,-2.98,,,nanoreg_mined,,,,,,
NM-101 TiO2 6 nm,Titanium Dioxide,6.0,-5.67,,,nanoreg_mined,,,,,,
NM-102 TiO2 anatase 21-22 nm,Titanium Dioxide,22.0,-4.38,,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,-11.0,,,nanoreg_mined,,,,,,
NM-104 TiO2,Titanium Dioxide,,-7.93,,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,-9.59,,,nanoreg_mined,,,,,,
"NM-110 Zinc Oxide, uncoated",Zinc Oxide,,-21.62,,,nanoreg_mined,,,,,,
Unknown Nanomaterial,Nanomaterial,,-27.54,,,nanoreg_mined,,,,,,
NM-200 Synthetic Amorphous Silica PR-A-02,Silicon Dioxide,,-41.07,,,nanoreg_mined,,,,,,
NM-201 Synthetic Amorphous Silica PR-B-01,Silicon Dioxide,,-8.6,,,nanoreg_mined,,,,,,
NM-202 Synthetic Amorphous Silica PY-AB-03,Silicon Dioxide,,-16.1,,,nanoreg_mined,,,,,,
NM-203 Synthetic Amorphous Silica PY-A-04,Silicon Dioxide,,-0.106,,,nanoreg_mined,,,,,,
NM-204 Synthetic Amorphous Silica PR-A-05,Silicon Dioxide,,-1.02,,,nanoreg_mined,,,,,,
