name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,drs_uri,sample_id,study_name,file_type
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/b5513bc3-089d-58fb-b926-9a34e7c44aeb,13041719,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/2b6a45af-02f0-5def-80c0-88bfecc547b7,115900565,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/813ec5fc-f63a-5b3a-95be-467f983ac742,15368256,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/cc58db6b-4b95-55fe-8a5b-09740718e938,47349769,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/2b56f46c-4fc9-5a80-816b-3faef2fb0758,55967747,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/49a2d1cd-332e-59fe-b0cb-1218bb6695bc,115900506,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/d73dffcc-17f7-59e1-b73e-286d4a32ad4a,108134409,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/becff60a-8678-5e8f-a8b0-f75a32ada818,82083851,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/6293560d-e7d0-58c6-84ec-6a59dfe3d50b,115900432,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/7b3b9427-4b6b-584b-8b6c-c0315d17ec4b,15368221,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/0c185148-7b7d-5501-bbe2-81451a4980fd,5341184,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/ceaac39c-7146-5f8b-a186-064ca750e665,77365249,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/d9f16c4b-4b19-546d-82c4-bcbdf6a32edc,9142316,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8751b144-219a-542c-8b77-7218157789da,87425025,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/8df1923e-83ff-50b5-850f-7ef52c572b8e,11337785,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a693c65d-8833-5011-8fa9-bda25b36a85c,94568452,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/49a78706-d045-5da8-a64e-1d3601fb42e1,9142315,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/11aa9bfc-17c8-539a-8e20-ece88622d04b,79986692,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/5cec1e3c-c072-5931-9622-2d37d0f361d8,10780687,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/e7f846a6-2784-59d0-bcbc-ca41276e17b9,104693772,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/06b998de-599b-52ac-a5b5-d4ed901a910f,36601885,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a699f7b5-8365-50a5-8fb8-9d8a7c3fb14b,9142318,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/30a971ba-11df-528d-97b4-232097121feb,51445769,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/a0690295-2894-5227-b0ba-a13043e4a592,9142319,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/11b0b3c3-cbfc-5919-b595-641dc636c1e1,9142306,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/bed842f1-ce85-5830-8a12-82ad43838734,61341698,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/87523907-308d-58a9-a83f-0badc4dd4f5c,27688965,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/43ba74d1-6748-5494-9a18-5938ddc2783c,20917507,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/5cf6771b-a981-5b8d-a6fb-7d23f9156c02,27688967,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/e20e37b4-8841-5492-82bd-8fa60b6ecdd5,72810498,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/258f3350-6792-57a3-8bc8-16cadc13c54a,9142290,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/5008c5bb-f431-5b44-be9f-9d41c563d76c,28835982,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/812f1a0c-4805-59fe-9b28-d63d78e2684c,41418753,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/abeb772a-caa4-5dc0-9042-ab31fc46620d,80838657,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/da084f4f-5e21-501c-a512-87d03996aa1b,28835849,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/7b24ff8a-1a07-5167-a087-ebdb4b98ed94,11337757,caNanoLab Data,CSV
table_1,Unknown,,,,,literature_mined,10.17917,drs://nci-crdc.datacommons.io/dg.4DFC/2588b55c-4604-5bb0-abb1-a55cd7a28221,81330179,caNanoLab Data,CSV
