name,material_type,core_size_nm,zeta_potential_mv,surface_area_m2g,coating,source_type,doi,ic50,ec50,pec50,cell_line,exposure_time_h,hydrosize,dosage,e,NOxygen,class
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,24.0,228.3,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,6.0,228.3,150.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,20.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,40.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,60.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,80.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,100.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,120.0,1.54,2.0,nonToxic
TiO2,TiO2,25.0,-10.7,40.0,,literature_mined,,,-4.16,,,3.0,228.3,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,74.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,133.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,133.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,133.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,133.0,150.0,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,327.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,21.0,-9.42,57.0,,literature_mined,,,-4.16,,,24.0,327.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,24.0,322.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,24.0,322.3,1.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,24.0,322.3,5.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,24.0,322.3,10.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,12.0,322.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,12.0,322.3,1.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,12.0,322.3,5.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,12.0,322.3,10.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,6.0,322.3,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,6.0,322.3,1.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,6.0,322.3,5.0,1.54,2.0,nonToxic
TiO2,TiO2,40.0,-25.27,50.0,,literature_mined,,,-4.16,,,6.0,322.3,10.0,1.54,2.0,nonToxic
TiO2,TiO2,20.0,-12.1,50.4,,literature_mined,,,-4.16,,,24.0,707.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,20.0,-12.1,50.4,,literature_mined,,,-4.16,,,24.0,707.0,10.0,1.54,2.0,nonToxic
TiO2,TiO2,20.0,-12.1,50.4,,literature_mined,,,-4.16,,,24.0,707.0,30.0,1.54,2.0,nonToxic
TiO2,TiO2,20.0,-12.1,50.4,,literature_mined,,,-4.16,,,24.0,707.0,100.0,1.54,2.0,nonToxic
TiO2,TiO2,20.0,-12.1,50.4,,literature_mined,,,-4.16,,,24.0,707.0,300.0,1.54,2.0,nonToxic
TiO2,TiO2,10.0,-11.0,166.0,,literature_mined,,,-4.16,,,24.0,1457.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,10.0,-11.0,166.0,,literature_mined,,,-4.16,,,24.0,1457.0,10.0,1.54,2.0,nonToxic
TiO2,TiO2,10.0,-11.0,166.0,,literature_mined,,,-4.16,,,24.0,1457.0,30.0,1.54,2.0,nonToxic
TiO2,TiO2,10.0,-11.0,166.0,,literature_mined,,,-4.16,,,24.0,1457.0,100.0,1.54,2.0,nonToxic
TiO2,TiO2,10.0,-11.0,166.0,,literature_mined,,,-4.16,,,24.0,1457.0,300.0,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,72.0,1814.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,72.0,1814.0,6.25,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,72.0,1814.0,12.5,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,72.0,1814.0,25.0,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,72.0,1814.0,50.0,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,12.0,1814.0,1e-05,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,12.0,1814.0,6.25,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,12.0,1814.0,12.5,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,12.0,1814.0,25.0,1.54,2.0,nonToxic
TiO2,TiO2,35.0,-35.5,66.0,,literature_mined,,,-4.16,,,12.0,1814.0,50.0,1.54,2.0,nonToxic
